id,nama_makanan,deskripsi,kategori,kalori,status_kesehatan,jenis,keterangan_kalori,lemak,karbohidrat,protein
123,Tahu Telur,"Tahu dan telur yang dimasak dengan saus kacang, memberikan rasa gurih, manis, dan kaya akan protein.",makanan,230,sedang,makanan ringan,Sedang,12,20,8
131,Papeda,"Bubur yang terbuat dari sagu khas Papua, disajikan dengan ikan kuah kuning, memberikan rasa gurih, pedas, dan kaya akan rempah.",makanan,280,sedang,makanan berat,Sedang,10,40,10
135,Sop Konro,"Sup iga sapi yang dimasak dengan bumbu khas Makassar, memberikan rasa gurih, pedas, dan kaya akan rempah.",makanan,320,sedang,makanan berat,Sedang,15,35,20
137,Sate Maranggi,"Sate daging yang dibumbui dengan bumbu khusus dan dibakar, memberikan rasa gurih, pedas, dan aroma yang menggugah selera.",makanan,310,sedang,makanan berat,Sedang,20,40,15
138,Nasi Gandul,"Nasi yang disajikan dengan kuah khas Pati dan daging, memberikan rasa gurih, rempah, dan sedikit manis.",makanan,340,sedang,makanan berat,Sedang,15,45,10
139,Soto Medan,"Soto yang kaya akan santan dan rempah, disajikan dengan nasi, memberikan rasa gurih, pedas, dan kaya akan gizi.",makanan,360,sedang,makanan berat,Sedang,20,50,15
141,Bajigur,"Minuman hangat yang terbuat dari gula aren, santan, dan rempah, memberikan rasa manis, gurih, dan hangat.",minuman,150,sedang,minuman,Rendah,8,20,2
143,Sekoteng,"Minuman jahe yang dicampur dengan kacang dan pacar cina, memberikan rasa hangat, manis, dan sedikit pedas.",minuman,200,sedang,minuman,Rendah,6,25,3
144,Ronde,"Minuman jahe yang diisi dengan bola-bola ketan, memberikan rasa manis, gurih, dan kenyal.",minuman,220,sedang,minuman,Sedang,8,30,4
145,Es Selendang Mayang,"Minuman es yang memiliki lapisan warna-warni, terbuat dari bahan alami, memberikan rasa manis, segar, dan sedikit gurih.",minuman,180,sedang,minuman,Rendah,10,25,3
146,Es Kacang Merah,"Minuman es yang terbuat dari kacang merah dan santan, memberikan rasa manis, gurih, dan segar.",minuman,200,sedang,minuman,Sedang,8,30,4
147,Es Goyang,"Minuman es yang digoyang sebelum disajikan, memberikan rasa manis, segar, dan sedikit gurih.",minuman,120,sedang,minuman,Rendah,6,20,2
150,Es Kopyor,"Minuman es yang terbuat dari daging kelapa kopyor, memberikan rasa manis, gurih, dan segar.",minuman,180,sedang,minuman,Rendah,8,25,3
157,Wedang Ronde,"Minuman jahe yang diisi dengan bola ketan isi kacang, memberikan rasa hangat, manis, dan gurih.",minuman,210,sedang,minuman,Sedang,6,30,3
158,Teh Tarik,"Teh susu yang ditarik untuk menghasilkan busa, memberikan rasa manis, gurih, dan aroma yang khas.",minuman,150,sedang,minuman,Rendah,8,20,2
159,Jahe Susu,"Minuman jahe yang dicampur dengan susu hangat, memberikan rasa manis, gurih, dan hangat.",minuman,140,sedang,minuman,Rendah,6,15,2
160,Bir Pletok,"Minuman rempah tradisional Betawi yang non-alkohol, memberikan rasa hangat, gurih, dan sedikit manis.",minuman,110,sedang,minuman,Rendah,4,10,1
162,Susu Jahe Merah,"Susu yang dicampur dengan jahe merah dan gula aren, memberikan rasa manis, gurih, dan hangat.",minuman,170,sedang,minuman,Rendah,8,15,2
165,Perkedel Jagung,"Bakwan jagung yang digoreng hingga kriuk, memberikan rasa manis, gurih, dan tekstur yang renyah.",makanan,190,sedang,makanan ringan,Rendah,10,35,5
166,Tahu Sumedang,"Tahu yang digoreng hingga renyah di luar dan lembut di dalam, memberikan rasa gurih, manis, dan kaya akan protein.",makanan,200,sedang,makanan ringan,Rendah,12,20,8
